start_ts,srcIp,dstIp,srcPort,dstPort,protocol,duration,packets,bytes,packetsPerSecond,bytesPerSecond,averagePacketSize,synCount,ackCount,finCount,rstCount,pshCount,urgCount,label
1787310031571,10.34.135.159,10.34.135.89,8080,42346,6,0.010798,5,440,463.049,40748.3,88.0,1,5,1,0,1,0,brute_force
1787310033327,10.34.135.89,10.34.135.159,43018,8080,6,0.010591,5,528,472.099,49853.6,105.6,1,4,1,0,1,0,brute_force
1787310032033,10.34.135.89,10.34.135.159,42566,8080,6,0.012091,5,528,413.531,43668.8,105.6,1,4,1,0,1,0,brute_force
1787310032680,10.34.135.89,10.34.135.159,42758,8080,6,0.012922,5,528,386.937,40860.5,105.6,1,4,1,0,1,0,brute_force
1787310032012,10.34.135.159,10.34.135.89,8080,42558,6,0.01014,5,440,493.097,43392.5,88.0,1,5,1,0,1,0,brute_force
1787310033029,10.34.135.159,10.34.135.89,8080,42900,6,0.01176,5,440,425.17,37415.0,88.0,1,5,1,0,1,0,brute_force
1787310031616,10.34.135.89,10.34.135.159,42376,8080,6,0.011959,5,527,418.095,44067.2,105.4,1,4,1,0,1,0,brute_force
1787310032456,10.34.135.89,10.34.135.159,42714,8080,6,0.009539,5,528,524.164,55351.7,105.6,1,4,1,0,1,0,brute_force
1787310031842,10.34.135.89,10.34.135.159,42470,8080,6,0.01011,5,528,494.56,52225.5,105.6,1,4,1,0,1,0,brute_force
1787310031865,10.34.135.89,10.34.135.159,42486,8080,6,0.012041,5,528,415.248,43850.2,105.6,1,4,1,0,1,0,brute_force
1787310032186,10.34.135.159,10.34.135.89,8080,42612,6,0.010344,5,440,483.372,42536.7,88.0,1,5,1,0,1,0,brute_force
1787310031984,10.34.135.89,10.34.135.159,42552,8080,6,0.012081,5,528,413.873,43705.0,105.6,1,4,1,0,1,0,brute_force
1787310033424,10.34.135.89,10.34.135.159,43060,8080,6,0.009531,5,528,524.604,55398.2,105.6,1,4,1,0,1,0,brute_force
1787310031668,10.34.135.89,10.34.135.159,42402,8080,6,0.012139,5,527,411.896,43413.8,105.4,1,4,1,0,1,0,brute_force
1787310032114,10.34.135.159,10.34.135.89,8080,42592,6,0.010681,5,440,468.121,41194.6,88.0,1,5,1,0,1,0,brute_force
1787310031694,10.34.135.89,10.34.135.159,42412,8080,6,0.011892,5,527,420.451,44315.5,105.4,1,4,1,0,1,0,brute_force
1787310033378,10.34.135.89,10.34.135.159,43040,8080,6,0.010961,5,528,456.163,48170.8,105.6,1,4,1,0,1,0,brute_force
1787310031591,10.34.135.89,10.34.135.159,42360,8080,6,0.01119,5,527,446.828,47095.6,105.4,1,4,1,0,1,0,brute_force
1787310032606,10.34.135.159,10.34.135.89,8080,42746,6,0.009985,5,440,500.751,44066.1,88.0,1,5,1,0,1,0,brute_force
1787310031871,10.34.135.159,10.34.135.89,8080,42486,6,0.010187,5,440,490.822,43192.3,88.0,1,5,1,0,1,0,brute_force
1787310032479,10.34.135.89,10.34.135.159,42720,8080,6,0.011702,5,528,427.277,45120.5,105.6,1,4,1,0,1,0,brute_force
1787310032164,10.34.135.159,10.34.135.89,8080,42602,6,0.009251,5,440,540.482,47562.4,88.0,1,5,1,0,1,0,brute_force
1787310031622,10.34.135.159,10.34.135.89,8080,42376,6,0.010091,5,440,495.491,43603.2,88.0,1,5,1,0,1,0,brute_force
1787310032653,10.34.135.89,10.34.135.159,42756,8080,6,0.012086,5,528,413.702,43686.9,105.6,1,4,1,0,1,0,brute_force
1787310032110,10.34.135.89,10.34.135.159,42592,8080,6,0.01093,5,528,457.457,48307.4,105.6,1,4,1,0,1,0,brute_force
1787310033825,10.34.135.159,10.34.135.89,8080,43222,6,0.006139,5,440,814.465,71672.9,88.0,1,5,1,0,1,0,brute_force
1787310032436,10.34.135.159,10.34.135.89,8080,42708,6,0.011601,5,440,430.997,37927.8,88.0,1,5,1,0,1,0,brute_force
1787310031749,10.34.135.159,10.34.135.89,8080,42434,6,0.010714,5,440,466.679,41067.8,88.0,1,5,1,0,1,0,brute_force
1787310032209,10.34.135.159,10.34.135.89,8080,42622,6,0.008603,5,440,581.193,51144.9,88.0,1,5,1,0,1,0,brute_force
1787310033076,10.34.135.89,10.34.135.159,42918,8080,6,0.013082,5,528,382.205,40360.8,105.6,1,4,1,0,1,0,brute_force
1787310032407,10.34.135.89,10.34.135.159,42704,8080,6,0.009726,5,528,514.086,54287.5,105.6,1,4,1,0,1,0,brute_force
